Epoch: 1, train_l: 129.7927, train_a: 0.4592, val_l: 113.1197, val_a: 0.5230, time: 26.4421
Epoch: 2, train_l: 100.0115, train_a: 0.5455, val_l: 90.0424, val_a: 0.5820, time: 23.0457
Epoch: 3, train_l: 80.6698, train_a: 0.5796, val_l: 72.9921, val_a: 0.6013, time: 23.0836
Epoch: 4, train_l: 65.3927, train_a: 0.6042, val_l: 59.3734, val_a: 0.6130, time: 23.0709
Epoch: 5, train_l: 54.0253, train_a: 0.6116, val_l: 50.4225, val_a: 0.6133, time: 23.0686
Epoch: 6, train_l: 47.6743, train_a: 0.6116, val_l: 46.3115, val_a: 0.6133, time: 22.9754
Epoch: 7, train_l: 44.9670, train_a: 0.6116, val_l: 44.6402, val_a: 0.6133, time: 23.0271
Epoch: 8, train_l: 43.7300, train_a: 0.6116, val_l: 43.6978, val_a: 0.6133, time: 22.9386
Epoch: 9, train_l: 42.9137, train_a: 0.6116, val_l: 42.9514, val_a: 0.6133, time: 22.9857
Epoch: 10, train_l: 42.1801, train_a: 0.6116, val_l: 42.2523, val_a: 0.6133, time: 22.9688
Epoch: 11, train_l: 41.4529, train_a: 0.6116, val_l: 41.5635, val_a: 0.6133, time: 22.9885
Epoch: 12, train_l: 40.7375, train_a: 0.6116, val_l: 40.8603, val_a: 0.6133, time: 22.9503
Epoch: 13, train_l: 39.9822, train_a: 0.6116, val_l: 40.1496, val_a: 0.6133, time: 22.9907
Epoch: 14, train_l: 39.2554, train_a: 0.6116, val_l: 39.4325, val_a: 0.6133, time: 22.9994
Epoch: 15, train_l: 38.4533, train_a: 0.6116, val_l: 38.7245, val_a: 0.6133, time: 22.9539
Epoch: 16, train_l: 37.7290, train_a: 0.6120, val_l: 38.0196, val_a: 0.6140, time: 22.9822
Epoch: 17, train_l: 37.0101, train_a: 0.6138, val_l: 37.3285, val_a: 0.6183, time: 23.0258
Epoch: 18, train_l: 36.2602, train_a: 0.6169, val_l: 36.6479, val_a: 0.6227, time: 22.9088
Epoch: 19, train_l: 35.5796, train_a: 0.6229, val_l: 35.9946, val_a: 0.6273, time: 22.9817
Epoch: 20, train_l: 34.9190, train_a: 0.6283, val_l: 35.3949, val_a: 0.6340, time: 22.9061
Epoch: 21, train_l: 34.3440, train_a: 0.6330, val_l: 34.8624, val_a: 0.6397, time: 22.9160
Epoch: 22, train_l: 33.8537, train_a: 0.6376, val_l: 34.4010, val_a: 0.6433, time: 22.9518
Epoch: 23, train_l: 33.4321, train_a: 0.6425, val_l: 34.0225, val_a: 0.6463, time: 22.9597
Epoch: 24, train_l: 33.1035, train_a: 0.6449, val_l: 33.7109, val_a: 0.6480, time: 23.0144
Epoch: 25, train_l: 32.8625, train_a: 0.6468, val_l: 33.4463, val_a: 0.6493, time: 23.1206
Epoch: 26, train_l: 32.6279, train_a: 0.6473, val_l: 33.2257, val_a: 0.6500, time: 22.9435
Epoch: 27, train_l: 32.4286, train_a: 0.6499, val_l: 33.0200, val_a: 0.6523, time: 22.9509
Epoch: 28, train_l: 32.2640, train_a: 0.6506, val_l: 32.8211, val_a: 0.6517, time: 22.9277
Epoch: 29, train_l: 32.0774, train_a: 0.6503, val_l: 32.6400, val_a: 0.6533, time: 22.9818
Epoch: 30, train_l: 31.9263, train_a: 0.6530, val_l: 32.4597, val_a: 0.6523, time: 23.2315
