Epoch: 1, train_l: 93.5543, train_a: 0.1475, val_l: 84.9273, val_a: 0.4677, time: 33.4125
Epoch: 2, train_l: 78.3311, train_a: 0.5383, val_l: 73.1325, val_a: 0.5690, time: 29.8453
Epoch: 3, train_l: 69.4035, train_a: 0.5779, val_l: 66.4303, val_a: 0.5967, time: 29.9860
Epoch: 4, train_l: 64.4914, train_a: 0.6056, val_l: 62.8844, val_a: 0.6123, time: 30.0365
Epoch: 5, train_l: 61.8274, train_a: 0.6103, val_l: 60.8954, val_a: 0.6123, time: 29.8739
Epoch: 6, train_l: 60.2217, train_a: 0.6103, val_l: 59.6515, val_a: 0.6123, time: 30.0119
Epoch: 7, train_l: 59.1296, train_a: 0.6103, val_l: 58.7446, val_a: 0.6123, time: 29.8480
Epoch: 8, train_l: 58.2693, train_a: 0.6103, val_l: 57.9869, val_a: 0.6123, time: 30.0826
Epoch: 9, train_l: 57.5030, train_a: 0.6103, val_l: 57.3091, val_a: 0.6123, time: 29.9466
Epoch: 10, train_l: 56.8211, train_a: 0.6103, val_l: 56.7029, val_a: 0.6123, time: 29.9161
Epoch: 11, train_l: 56.2154, train_a: 0.6103, val_l: 56.1642, val_a: 0.6123, time: 29.8067
Epoch: 12, train_l: 55.6782, train_a: 0.6103, val_l: 55.6941, val_a: 0.6123, time: 30.0444
Epoch: 13, train_l: 55.2142, train_a: 0.6103, val_l: 55.2848, val_a: 0.6123, time: 29.7043
Epoch: 14, train_l: 54.8349, train_a: 0.6103, val_l: 54.9359, val_a: 0.6123, time: 30.1032
Epoch: 15, train_l: 54.4728, train_a: 0.6103, val_l: 54.6251, val_a: 0.6123, time: 29.8691
Epoch: 16, train_l: 54.1872, train_a: 0.6108, val_l: 54.3494, val_a: 0.6140, time: 29.7762
Epoch: 17, train_l: 53.8964, train_a: 0.6122, val_l: 54.0956, val_a: 0.6157, time: 29.9432
Epoch: 18, train_l: 53.6438, train_a: 0.6161, val_l: 53.8595, val_a: 0.6217, time: 29.9455
Epoch: 19, train_l: 53.4298, train_a: 0.6208, val_l: 53.6331, val_a: 0.6273, time: 29.9492
Epoch: 20, train_l: 53.1861, train_a: 0.6267, val_l: 53.4233, val_a: 0.6323, time: 30.2511
Epoch: 21, train_l: 52.9883, train_a: 0.6320, val_l: 53.2260, val_a: 0.6353, time: 29.9577
Epoch: 22, train_l: 52.8033, train_a: 0.6377, val_l: 53.0444, val_a: 0.6430, time: 29.9754
Epoch: 23, train_l: 52.6365, train_a: 0.6404, val_l: 52.8818, val_a: 0.6427, time: 29.9436
Epoch: 24, train_l: 52.4814, train_a: 0.6430, val_l: 52.7307, val_a: 0.6447, time: 30.0055
Epoch: 25, train_l: 52.3429, train_a: 0.6454, val_l: 52.5924, val_a: 0.6470, time: 30.0762
Epoch: 26, train_l: 52.2145, train_a: 0.6476, val_l: 52.4646, val_a: 0.6497, time: 29.9355
Epoch: 27, train_l: 52.0928, train_a: 0.6476, val_l: 52.3449, val_a: 0.6503, time: 30.3253
Epoch: 28, train_l: 51.9862, train_a: 0.6485, val_l: 52.2276, val_a: 0.6507, time: 29.9926
Epoch: 29, train_l: 51.8743, train_a: 0.6488, val_l: 52.1203, val_a: 0.6510, time: 29.9533
Epoch: 30, train_l: 51.7728, train_a: 0.6499, val_l: 52.0182, val_a: 0.6507, time: 30.0750
