Epoch: 1, train_l: 51.7103, train_a: 0.6515, val_l: 52.0028, val_a: 0.6510, time: 30.2060
Epoch: 2, train_l: 51.6995, train_a: 0.6522, val_l: 51.9901, val_a: 0.6510, time: 30.1325
Epoch: 3, train_l: 51.6899, train_a: 0.6513, val_l: 51.9774, val_a: 0.6507, time: 30.0124
Epoch: 4, train_l: 51.6598, train_a: 0.6510, val_l: 51.9647, val_a: 0.6503, time: 30.1358
Epoch: 5, train_l: 51.6753, train_a: 0.6515, val_l: 51.9521, val_a: 0.6503, time: 29.8968
Epoch: 6, train_l: 51.6425, train_a: 0.6516, val_l: 51.9396, val_a: 0.6503, time: 30.1243
Epoch: 7, train_l: 51.6302, train_a: 0.6512, val_l: 51.9270, val_a: 0.6490, time: 30.2984
Epoch: 8, train_l: 51.6117, train_a: 0.6509, val_l: 51.9147, val_a: 0.6500, time: 30.0569
Epoch: 9, train_l: 51.6320, train_a: 0.6504, val_l: 51.9020, val_a: 0.6507, time: 29.9479
Epoch: 10, train_l: 51.6014, train_a: 0.6518, val_l: 51.8901, val_a: 0.6503, time: 29.9038
Epoch: 11, train_l: 51.5846, train_a: 0.6525, val_l: 51.8781, val_a: 0.6503, time: 29.9881
Epoch: 12, train_l: 51.5660, train_a: 0.6524, val_l: 51.8664, val_a: 0.6503, time: 30.0596
Epoch: 13, train_l: 51.5685, train_a: 0.6502, val_l: 51.8544, val_a: 0.6510, time: 29.9693
Epoch: 14, train_l: 51.5503, train_a: 0.6518, val_l: 51.8426, val_a: 0.6513, time: 29.9323
Epoch: 15, train_l: 51.5316, train_a: 0.6518, val_l: 51.8309, val_a: 0.6517, time: 29.8760
Epoch: 16, train_l: 51.5336, train_a: 0.6522, val_l: 51.8197, val_a: 0.6520, time: 29.9494
Epoch: 17, train_l: 51.5113, train_a: 0.6513, val_l: 51.8078, val_a: 0.6517, time: 29.8895
Epoch: 18, train_l: 51.5147, train_a: 0.6522, val_l: 51.7961, val_a: 0.6517, time: 30.0043
Epoch: 19, train_l: 51.4972, train_a: 0.6504, val_l: 51.7851, val_a: 0.6517, time: 30.1463
Epoch: 20, train_l: 51.4825, train_a: 0.6512, val_l: 51.7735, val_a: 0.6510, time: 30.1297
Epoch: 21, train_l: 51.4846, train_a: 0.6516, val_l: 51.7628, val_a: 0.6517, time: 30.0582
Epoch: 22, train_l: 51.4551, train_a: 0.6513, val_l: 51.7508, val_a: 0.6517, time: 29.9670
Epoch: 23, train_l: 51.4402, train_a: 0.6514, val_l: 51.7402, val_a: 0.6513, time: 29.7647
Epoch: 24, train_l: 51.4540, train_a: 0.6520, val_l: 51.7297, val_a: 0.6513, time: 29.8361
Epoch: 25, train_l: 51.4322, train_a: 0.6525, val_l: 51.7189, val_a: 0.6513, time: 30.1820
Epoch: 26, train_l: 51.4137, train_a: 0.6516, val_l: 51.7078, val_a: 0.6520, time: 29.7936
Epoch: 27, train_l: 51.4186, train_a: 0.6515, val_l: 51.6969, val_a: 0.6520, time: 29.8794
Epoch: 28, train_l: 51.4153, train_a: 0.6508, val_l: 51.6862, val_a: 0.6527, time: 29.8666
Epoch: 29, train_l: 51.3842, train_a: 0.6516, val_l: 51.6752, val_a: 0.6527, time: 29.9497
Epoch: 30, train_l: 51.3854, train_a: 0.6518, val_l: 51.6649, val_a: 0.6527, time: 29.9339
